"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR3177",2.6465852359831,-3.16042438048329,1.02495546002395,-3.08347484719916,0.00204598404913517,0.00992555438359344
"OSGEPL1-AS1",1.65284054808165,-3.14117593576153,1.07348249801462,-2.92615477343232,0.00343180157192631,0.0149966870259729
"RPL26P9",2.06964503903894,-3.13013662267216,1.25593238405282,-2.4922811629169,0.0126925518522858,0.0435068677826816
"CP",5.74752289005039,-3.11570445686541,0.734754873814184,-4.24046790011951,2.23054333210944e-05,0.000236835904512906
"HCG14",1.61123288066924,-3.10260291567179,0.97758116447909,-3.17375480257441,0.00150480755129893,0.00772453441728643
"SNORA1B",5.58352136573576,-3.07086745072762,0.759950231423654,-4.04087968362718,5.32510749340854e-05,0.000487628563533757
"MIR133A1HG",1.98187752731196,-3.06386297221678,1.02929885586753,-2.9766505177298,0.00291415994310644,0.0131335990563751
"PGAM1P6",2.44058297983002,-3.03508867600787,1.20730395212238,-2.51393915399045,0.0119391030337247,0.0414176818194441
"RPL21P123",6.0335528427295,-3.02980635532504,0.822034305534808,-3.68574198780412,0.000228037287639192,0.00161610216007465
"RN7SKP9",2.40206149582379,-3.0099000150224,0.986741225962584,-3.05034383466262,0.00228579517880164,0.0108441527658148
"MIR378A",1.90176774847155,-3.00006074459581,1.21508635699945,-2.46901031133638,0.01354873142989,0.0458687172606523
"LMO7-AS1",4.0468401406924,-2.96207829427312,0.834248417222478,-3.55059504234359,0.000384361327680521,0.00249499176243272
"IGIP",13.2037840204048,-2.95252752719324,0.572270838713835,-5.15931850350609,2.47850359443912e-07,5.72688434165869e-06
"MPP7-DT",1.81974184172134,-2.93145702049976,1.08522384861424,-2.70124640574666,0.00690801384857953,0.0266375164355732
"OVCH1",3.88835308814286,-2.89796772245667,0.927865547119818,-3.12326255830085,0.00178858114916935,0.00888563359995682
"RPL7P21",2.22860781081219,-2.8945574690612,1.00866641082891,-2.8696875775634,0.00410877547448477,0.0173857448185035
"MKRN3",2.76683433147126,-2.89420904192956,0.98581342318672,-2.93585882871609,0.0033262565991142,0.0146250345612519
"LINC02575",3.3033709888842,-2.88808795731721,0.927709273209365,-3.11313904120632,0.00185108787751827,0.00914419982253419
"DPYD-AS2",3.22243956222445,-2.84863362188701,0.888458552548207,-3.20626506854685,0.00134470057492431,0.00701983285206317
"FCRL2",6.10303452596432,-2.76098642397831,0.950423087359623,-2.90500773886778,0.0036724401988875,0.0158502270185713
"PA2G4P6",5.95177930864826,-2.72297443319484,0.706374097954451,-3.85486166760665,0.000115795085122232,0.000925012417559506
"TLCD4-RWDD3",2.47992052059189,-2.72207152082014,1.00585372620483,-2.70622999140317,0.00680518972646226,0.0263192729919922
"RPL34P34",1.24044823424074,-2.70165442310788,1.03949191114137,-2.59901437822778,0.00934918572030077,0.0339309816640336
"DSTNP3",1.23805601875337,-2.69904858542456,1.05480767823631,-2.55880635030787,0.0105032231170874,0.0373353642357639
"RPL5P30",1.19652699083098,-2.64657916749625,1.07517353191563,-2.46153675563504,0.0138343221761835,0.0467114592047628
"RPL34P20",16.5350330919801,-2.60235853387771,0.568305020059387,-4.57915809648447,4.66851237610121e-06,6.50093081693156e-05
"OR52P2P",7.72773128668364,-2.58194547650136,0.657164258366955,-3.92891951080459,8.53283914776219e-05,0.000717627462130042
"FAM86B1",2.23225431619328,-2.55613663758359,1.00450778935066,-2.54466582009875,0.0109382363606396,0.0385681478950563
"HLA-W",1.77520447939451,-2.53651320736348,1.01283840982434,-2.50436119203199,0.0122672730130129,0.0423256510650142
"SHOC1",3.92140223824483,-2.51877407275137,0.74669182865604,-3.37324445787076,0.000742879664735457,0.00431597798319602
"TTLL1-AS1",2.14684949692513,-2.49440423285751,1.00968063979095,-2.4704883252728,0.0134928723105668,0.0457143126829802
"IGSF23",3.83861897574316,-2.48439666879621,0.834138754206868,-2.97839736646509,0.00289760054245874,0.0130830328047779
"MFSD1P1",5.91383376790794,-2.46714945904196,0.849889088432987,-2.90290755890378,0.00369715749676175,0.0159376257678192
"POU5F1P4",4.12984302138834,-2.43311069174602,0.789635180363508,-3.08130989126641,0.00206092034529232,0.0099850943368492
"DISC1-IT1",2.85017047870478,-2.4119633064091,0.964565084164647,-2.50057082306474,0.0123993338079419,0.0427399645345057
"RNU6-920P",2.02245994193911,-2.3986819018945,0.909911901384887,-2.6361693898538,0.00838478633808335,0.0310780575520851
"PEX11A",7.6353742691377,-2.3888885235791,0.517691106675346,-4.61450562463925,3.9403210488864e-06,5.62749774780109e-05
"MIR5695",4.4231260026823,-2.38325923798275,0.795108335193566,-2.99740190423554,0.00272291475028178,0.0124541931578273
"KCTD9P1",3.59720137424992,-2.38003976667128,0.942821633761274,-2.52437967208749,0.0115902675768405,0.0404118829233151
"YAE1",11.0972032429711,-2.36625513332439,0.536757649213374,-4.4084236839329,1.04125698005456e-05,0.000126611738310928
"MIR3605",2.3536022083752,-2.35018185367907,0.917599081848726,-2.56122951751875,0.0104302424316265,0.0371292485522557
"SNORA80E",3.42738432745947,-2.30276400990472,0.890852010387009,-2.58490072768017,0.00974070386480734,0.0351587769203629
"GIMAP7",799.042962089289,-2.2826126434243,0.394112328473786,-5.79178188173863,6.96435514535941e-09,3.3170425273445e-07
"BACE1-AS",7.8453392994774,-2.27038758699907,0.620621187942719,-3.65825020335694,0.000253943079215743,0.00176134616531461
"RPS2P45",3.3450179528125,-2.26282177334668,0.870050353237876,-2.60079404016748,0.00930082745460902,0.0338036186094775
"ERVFRD-1",3.67405160694811,-2.24423368365907,0.800568186162846,-2.80330110844869,0.00505824200462591,0.020623753343661
