"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEC14L1",3715.08965209791,0.191429377701406,0.0995087515662243,1.92374413997152,0.054386662330256,0.136314357544908
"DNMBP-AS1",2.07300598328235,-2.14130934105152,1.11347744755238,-1.92308281210229,0.0544696505555281,0.136503178787512
"USP27X",52.7493209210537,-0.351341747882811,0.182706219321728,-1.9229873465015,0.0544816389933656,0.136508263119043
"TMEM135",120.034053136111,0.320708821566425,0.166780047110804,1.92294478339699,0.0544869847184431,0.136508263119043
"GTF2H2B",38.2330606328396,-0.886087629631676,0.460830121006066,-1.92280753631556,0.0545042252845575,0.13653228066647
"EXO1",5.66355564237359,0.969208952891365,0.504099282996581,1.92265489276234,0.0545234052539599,0.136561148963793
"FIP1L1",88.04452270806,-0.283168985469113,0.147289100860346,-1.92253862516007,0.0545380182891335,0.136561962058338
"NRDE2",375.206235637527,0.327649111098025,0.170425971103416,1.92253040412018,0.0545390516700556,0.136561962058338
"FAM199X",584.859896614467,-0.188766103908362,0.0981893837129687,-1.92246958653056,0.0545466969203754,0.136561962058338
"SLC22A31",7.22994355142003,1.18357536510615,0.615706297238851,1.92230511595207,0.0545673766460929,0.136594564217374
"P3H2",7.01611999164256,-1.25962078361817,0.65529158366206,-1.92222945483117,0.05457689210114,0.136599214438071
"MIR5684",11.1247673369309,0.922450960384543,0.479978049970229,1.92186071934281,0.0546232856101538,0.136696151615309
"PRDX6",1504.48521971127,0.162473668080362,0.0845448720846119,1.92174479745808,0.0546378774474709,0.13671348827437
"TMEM219",1235.17607466134,0.184917383411903,0.0962652600746879,1.92091501408124,0.0547424226038092,0.136955867378226
"UBLCP1",465.200762227078,-0.164170799601054,0.0854691255512696,-1.92081992815726,0.0547544132117686,0.136966655850726
"MAGIX",46.0550803431152,0.485813985402003,0.252936304290157,1.92069693896017,0.0547699257511933,0.136986250077087
"ZNF45-AS1",1.40145084136432,-2.5237917073313,1.31435328719774,-1.92017757471595,0.0548354732141262,0.137111742527836
"JMJD8",174.117454242767,0.256612340446695,0.133639757498247,1.92017963254731,0.0548352133721448,0.137111742527836
"RHOF",25.8976124155229,0.532341206736482,0.27735384391632,1.91935759468722,0.0549390936862539,0.137351584187161
"KCNQ4",9.3073970318776,1.05820011479194,0.551425024873529,1.91902809458936,0.0549807784099291,0.137417279708045
"CEBPG",794.410913610298,-0.186679495022174,0.0972757394665713,-1.9190755685422,0.0549747709027664,0.137417279708045
"ARHGAP11A",86.1864725057178,-0.321898941076642,0.167748822215717,-1.91893413512433,0.0549926699574449,0.137427745405002
"PNLDC1",1.73303761825729,1.89770406716129,0.989023429108582,1.91876553305892,0.0550140136785608,0.137461826025797
"DUSP19",2.27128882228227,-1.61694637097386,0.8427623684721,-1.91862668702843,0.0550315957003905,0.137486499174169
"WASL",273.564167971353,0.270736711645821,0.141142351358287,1.91818195630426,0.0550879433248964,0.137608000704313
"SALL2",1.57141073855041,-1.98603288288033,1.03555737586027,-1.91783954146478,0.0551313602362158,0.137677894987207
"TRIP10",78.6597769967404,0.495062424364339,0.258130136675159,1.91787921682057,0.0551263280899692,0.137677894987207
"SLC25A20",474.136403905901,-0.451448061324468,0.235491362673865,-1.91704721650316,0.0552319334315621,0.137909746437878
"CTDSPL2",598.81055329583,-0.188724035621705,0.098462908816036,-1.91670181077332,0.0552758250977015,0.138000023525934
"CLEC18B",10.7345484023557,1.07430656670497,0.5606349582203,1.91623185631392,0.0553355901992839,0.138110571984725
"NDUFA6",737.814542004944,0.220155844235767,0.114887924800628,1.91626617521221,0.0553312239704252,0.138110571984725
"APOL1",628.088536469421,0.199893553601451,0.104320709383603,1.9161445007665,0.0553467053223897,0.138118988464016
